﻿MORE_THAN_STRONG_FLAVOUR,Extremely {0},过量{0}
Trapper_SmallGameTraps_Completed_OnCompleteActions[0].ActionName,Completed,完成
Trapper_SmallGameTraps_Completed_Event_CardName,Small Game Traps,小型捕猎动物
Trapper_SmallGameTraps_Completed_Event_DismantleActions[0].ActionName,Continue,继续
Trapper_SmallGameTraps_DisplayConditions_OnCompleteActions[0].ActionName,Completed,完成
Trapper_SmallGameTraps_Main_QuestTitle,Small Game Traps,小型捕猎动物
Trapper_SmallGameTraps_Obj1_Mouse_ObjectiveDescription,Mouse,老鼠
Trapper_SmallGameTraps_Obj2_Squirrel_ObjectiveDescription,Squirrel,松鼠
Trapper_SmallGameTraps_Obj3_Badger_ObjectiveDescription,Badger,獾
Trapper_SmallGameTraps_Obj4_Hare_ObjectiveDescription,Hare,野兔
Trapper_SmallGameTraps_Obj5_Fox_ObjectiveDescription,Fox,狐狸
Trapper_SmallGameTraps_Sub1_Mouse_QuestTitle,Mouse,老鼠
Trapper_SmallGameTraps_Sub2_Squirrel_QuestTitle,Squirrel,松鼠
Trapper_SmallGameTraps_Sub3_Badger_QuestTitle,Badger,獾
Trapper_SmallGameTraps_Sub4_Hare_QuestTitle,Hare,野兔
Trapper_SmallGameTraps_Sub5_Fox_QuestTitle,Fox,狐狸
Trapper_TheEnd_Completed_ObjectiveDescription,The End,结束
Trapper_TheEnd_Completed_OnCompleteActions[0].ActionName,Completed,完成
Trapper_TheEnd_Completed_Event_CardName,The End,结束
Trapper_TheEnd_Completed_Event_DismantleActions[0].ActionName,Continue,继续
Trapper_TheEnd_DisplayConditions_OnCompleteActions[0].ActionName,Completed,完成
Trapper_TheEnd_Main_QuestTitle,WAY MASTERED,能力领悟
Trapper_TheEnd_Main_OnCompleteVictory.VictoryMessage,This way has been mastered.,这个能力已经领悟了。
Trapper_TheEnd_Obj1_CompleteStoryWillEndTheGame_ObjectiveDescription,Complete Story (Will End the Game),完成故事（将结束游戏）
Trapper_TheEnd_Sub1_CompleteStoryWillEndTheGame_QuestTitle,Complete Story (Will End the Game),完成故事（将结束游戏）
Wildman_BigGameHunting_Completed_ObjectiveDescription,Big Game Hunting,狩猎大型动物
Wildman_BigGameHunting_Completed_OnCompleteActions[0].ActionName,Completed,完成
Wildman_BigGameHunting_Completed_Event_CardName,Big Game Hunting,狩猎大型动物
Wildman_BigGameHunting_Completed_Event_DismantleActions[0].ActionName,Continue,继续
Wildman_BigGameHunting_DisplayConditions_OnCompleteActions[0].ActionName,Completed,完成
Wildman_BigGameHunting_Main_QuestTitle,Big Game Hunting,狩猎大型动物
Wildman_BigGameHunting_Obj1_Wolf_ObjectiveDescription,Wolf,狼
Wildman_BigGameHunting_Obj2_Doe_ObjectiveDescription,Doe,母鹿
Wildman_BigGameHunting_Obj3_Stag_ObjectiveDescription,Stag,公鹿
Wildman_BigGameHunting_Obj4_Boar_ObjectiveDescription,Boar,野猪
Wildman_BigGameHunting_Obj5_Bear_ObjectiveDescription,Bear,熊
Wildman_BigGameHunting_Sub1_Wolf_QuestTitle,Wolf,狼
Wildman_BigGameHunting_Sub2_Doe_QuestTitle,Doe,母鹿
Wildman_BigGameHunting_Sub3_Stag_QuestTitle,Stag,公鹿
Wildman_BigGameHunting_Sub4_Boar_QuestTitle,Boar,野猪
Wildman_BigGameHunting_Sub5_Bear_QuestTitle,Bear,熊
Wildman_SmallGameHunting_Completed_ObjectiveDescription,Small Game Hunting,狩猎小型动物
Wildman_SmallGameHunting_Completed_OnCompleteActions[0].ActionName,Completed,完成
Wildman_SmallGameHunting_Completed_Event_CardName,Small Game Hunting,狩猎小型动物
Wildman_SmallGameHunting_Completed_Event_DismantleActions[0].ActionName,Continue,继续
Wildman_SmallGameHunting_DisplayConditions_OnCompleteActions[0].ActionName,Completed,完成
Wildman_SmallGameHunting_Main_QuestTitle,Small Game Hunting,狩猎小型动物
Wildman_SmallGameHunting_Obj1_Partridge_ObjectiveDescription,Partridge,灰山鹑
Wildman_SmallGameHunting_Obj2_Duck_ObjectiveDescription,Duck,鸭子
Wildman_SmallGameHunting_Obj3_Badger_ObjectiveDescription,Badger,獾
Wildman_SmallGameHunting_Obj4_Hare_ObjectiveDescription,Hare,野兔
Wildman_SmallGameHunting_Obj5_Fox_ObjectiveDescription,Fox,狐狸
Wildman_SmallGameHunting_Sub1_Partridge_QuestTitle,Partridge,灰山鹑
Wildman_SmallGameHunting_Sub2_Duck_QuestTitle,Duck,鸭子
Wildman_SmallGameHunting_Sub3_Badger_QuestTitle,Badger,獾
Wildman_SmallGameHunting_Sub4_Hare_QuestTitle,Hare,野兔
Wildman_SmallGameHunting_Sub5_Fox_QuestTitle,Fox,狐狸
Wildman_TheEnd_Completed_ObjectiveDescription,The End,结束
Wildman_TheEnd_Completed_OnCompleteActions[0].ActionName,Completed,完成
Wildman_TheEnd_Completed_Event_CardName,The End,结束
Wildman_TheEnd_Completed_Event_DismantleActions[0].ActionName,Continue,继续
Wildman_TheEnd_DisplayConditions_OnCompleteActions[0].ActionName,Completed,完成
Wildman_TheEnd_Main_QuestTitle,WAY MASTERED,能力领悟
Wildman_TheEnd_Main_OnCompleteVictory.VictoryMessage,This way has been mastered.,这个能力已经领悟了。
Wildman_TheEnd_Obj1_CompleteStoryWillEndTheGame_ObjectiveDescription,Complete Story (Will End the Game),完成故事（将结束游戏）
Wildman_TheEnd_Sub1_CompleteStoryWillEndTheGame_QuestTitle,Complete Story (Will End the Game),完成故事（将结束游戏）
Wildman_ToolsOfTheHunt_Completed_ObjectiveDescription,Tools of the Hunt,狩猎工具
Wildman_ToolsOfTheHunt_Completed_OnCompleteActions[0].ActionName,Completed,完成
Wildman_ToolsOfTheHunt_Completed_Event_CardName,Tools of the Hunt,狩猎工具
Wildman_ToolsOfTheHunt_Completed_Event_DismantleActions[0].ActionName,Continue,继续
Wildman_ToolsOfTheHunt_DisplayConditions_OnCompleteActions[0].ActionName,Completed,完成
Wildman_ToolsOfTheHunt_Main_QuestTitle,Tools of The Hunt,狩猎工具
Wildman_ToolsOfTheHunt_Obj1_CraftAHuntingSpear_ObjectiveDescription,Craft a Hunting Spear,制作一柄狩猎长矛
Wildman_ToolsOfTheHunt_Obj2_CraftAFlatbow_ObjectiveDescription,Craft a Hunting Spear,制作一柄狩猎长矛
Wildman_ToolsOfTheHunt_Obj3_CraftBroadheadArrows_ObjectiveDescription,Craft Broadhead Arrows,制造宽头箭头
Wildman_ToolsOfTheHunt_Obj4_ApplyWolfsbaneToAWeapon_ObjectiveDescription,Apply Wolfsbane to a Weapon,将乌头涂抹在武器上
Wildman_ToolsOfTheHunt_Sub1_CraftAHuntingSpear_QuestTitle,Craft a Hunting Spear,制作一柄狩猎长矛
Wildman_ToolsOfTheHunt_Sub2_CraftAFlatbow_QuestTitle,Craft a Flatbow,制作一张平弓
Wildman_ToolsOfTheHunt_Sub3_CraftBroadheadArrows_QuestTitle,Craft Broadhead Arrows,制造宽头箭头
Wildman_ToolsOfTheHunt_Sub4_ApplyWolfsbaneToAWeapon_QuestTitle,Apply Wolfsbane to a Weapon,将乌头涂抹在武器上
LQ_SpiritEarth_CardInteractions[4].ActionName,Field Blessing,大地赐福
LQ_SpiritMoonMaiden_CardName,Moon Maiden Spirit,月女精魄
LQ_SpiritMoonMaiden_CardDescription,A personified manifestation of the essence of the moon maiden. Boosts your courage but increases your grief. ,月之少女本质的拟人化显现。能增强你的勇气，但会加剧你的悲伤。
LQ_SpiritMoonMaiden_LiquidSuffixName,(Moon Maiden),（月之少女）
LQ_SpiritMoonMaiden_DismantleActions[0].ActionName,Blessing,赐福
LQ_SpiritMoontouched_CardName,Moontouched Spirit,月兽精魄
LQ_SpiritMoontouched_CardDescription,"A personified manifestation of the essence of moontouched kind. \n\nCan help you with tracking and chasing prey, and make you more effective in combat. Boosts your stealth and night vision, and protects you from wolves.",月兽精魄的拟人化体现。\n\n可以帮助你追踪和追逐猎物，并使你更高效战斗。提升你的潜行和夜视能力，并保护你免受狼群的攻击。
LQ_SpiritMoontouched_LiquidSuffixName,(Moontouched),（月之野兽）
LQ_SpiritMoontouched_CardInteractions[0].ActionName,Bestial Resilience,野兽般坚韧
LQ_SpiritMoontouched_DismantleActions[0].ActionName,Blessing,赐福
Spirit_MoonMaiden_CardName,Moon Maiden Spirit,月女精魄
Spirit_MoonMaiden_CardDescription,A personified manifestation of the essence of the moon maiden. Boosts your courage but increases your grief. ,月之少女本质的拟人化显现。能增强你的勇气，但会加剧你的悲伤。
Spirit_MoonMaiden_SpoilageTime.CardStatName,Attunement,共鸣
Spirit_MoonMaiden_SpoilageTime.OnZero.ActionName,Leave,离去
Spirit_MoonMaiden_FuelCapacity.CardStatName,Duration,耗时
Spirit_MoonMaiden_FuelCapacity.OnZero.ActionName,Death,消亡
Spirit_MoonMaiden_Progress.OnZero.ActionName,Death,消亡
Spirit_MoonMaiden_DismantleActions[0].ActionName,Release,释放
Spirit_Moontouched_CardName,Moontouched Spirit,月兽精魄
Spirit_Moontouched_CardDescription,"A personified manifestation of the essence of moontouched kind. \n\nCan help you with tracking and chasing prey, and make you more effective in combat. Boosts your stealth and night vision, and protects you from wolves.",月兽精魄的拟人化体现。\n\n可以帮助你追踪和追逐猎物，并使你更高效战斗。提升你的潜行和夜视能力，并保护你免受狼群的攻击。
Spirit_Moontouched_SpoilageTime.CardStatName,Attunement,共鸣
Spirit_Moontouched_SpoilageTime.OnZero.ActionName,Leave,离去
Spirit_Moontouched_FuelCapacity.CardStatName,Duration,耗时
Spirit_Moontouched_FuelCapacity.OnZero.ActionName,Death,消亡
Spirit_Moontouched_Progress.OnZero.ActionName,Death,消亡
Spirit_Moontouched_DismantleActions[0].ActionName,Release,释放
IsNightUnderOpenSky_Description,Moon is visible between 17:00 and 07:00 but only if OpenSky is on board,月亮在17：00至07：00期间可见，但是仅在天空开阔的地方
IsNightUnderOpenSky_Statuses[0].GameName,Hide Moon Shape,隐藏月相
IsNightUnderOpenSky_NotEnoughText,It's too dark for this action...,太黑了我做不到……
Agent_ForestBeastExists_GameName,Forest Beast Exists,森林猛兽出现
HuntsmanDreamDefeat_NotEnoughText,Mist is to thick for this action...,雾太浓了我做不到……
HuntsmanDreamForgive_NotEnoughText,Mist is to thick for this action...,雾太浓了我做不到……
HuntsmanDreamVictory_NotEnoughText,Mist is to thick for this action...,雾太浓了我做不到……
MoonMaiden_CallUponHer_NotEnoughText,Mist is to thick for this action...,雾太浓了我做不到……
MoonMaiden_ConnectToHer_NotEnoughText,Mist is to thick for this action...,雾太浓了我做不到……
MoonMaiden_FindHer_NotEnoughText,Mist is to thick for this action...,雾太浓了我做不到……
MoonMaidenBlessing_GameName,Moon Maiden Blessing,月女赐福
MoonMaidenBlessing_Description,A spirit blessing. Boosts your courage but increases your grief. ,一个精魄赐福。增强你的勇气同时难以抑制悲伤。
MoonMaidenBlessing_Statuses[0].GameName,Maiden Blessing,少女赐福
MoonMaidenBlessing_Statuses[1].GameName,Maiden Blessing,少女赐福
MoonMaidenBlessing_Statuses[2].GameName,Maiden Blessing,少女赐福
MoonMaidenBlessing_Statuses[3].GameName,Maiden Blessing,少女赐福
MoonMaidenBlessing_Statuses[4].GameName,Maiden Blessing,少女赐福
MoonMaidenBlessing_Statuses[5].GameName,Maiden Blessing,少女赐福
BeastAffinity_Description,How much in common you have with the spirit of Beasts.\n\nHunt beasts or spend time near them to increase it.,你与野兽精魄的融合程度。\n\n狩猎野兽或在它们附近逗留均可得到提升。
BirdAffinity_Description,How much in common you have with the spirit of Birds.\n\nHunt birds or spend time near them to increase it.,你与鸟精魄的融合程度。\n\n狩猎野兽或在它们附近逗留均可得到提升。
DarknessAffinity_Description,How much in common you have with the spirit of Darkness.\n\nSpend time in darkness to increase it.,你与黑暗精魄的融合程度。\n\n狩猎野兽或在它们附近逗留均可得到提升。
EarthAffinity_Description,"How much in common you have with the spirit of Earth.\n\nGrow plants, harvest them, process them to increase it.",你与大地精魄的融合程度。\n\n狩猎野兽或在它们附近逗留均可得到提升。
FearAffinity_Description,How much in common you have with the spirit of Fear.\n\nSpend time afraid and suffer frightening experiences to increase it.,你与恐惧精魄的融合程度。\n\n狩猎野兽或在它们附近逗留均可得到提升。
FireAffinity_Description,"How much in common you have with the spirit of fire.\n\nStart fires, feed them and gaze into their flames to increase it.",你与火精魄的融合程度。\n\n狩猎野兽或在它们附近逗留均可得到提升。
FrostAffinity_Description,How much in common you have with the spirit of Frost.,你与冰霜精魄的融合程度。\n\n狩猎野兽或在它们附近逗留均可得到提升。
MoonAffinity_Description,How much in common you have with the spirit of the Moon.\n\nSpend time outdoors under the moon to increase it.,你与月精魄的融合程度。\n\n狩猎野兽或在它们附近逗留均可得到提升。
VoidAffinity_Description,How much in common you have with the spirit of the Void.\n\nSpend time derealized to increase it.,你与虚无精魄的融合程度。\n\n狩猎野兽或在它们附近逗留均可得到提升。
WaterAffinity_Description,"How much in common you have with the spirit of Water.\n\nSpend time near water, fish or swim to increase it.",你与水精魄的融合程度。\n\n狩猎野兽或在它们附近逗留均可得到提升。
WindAffinity_Description,How much in common you have with the spirit of Wind.\n\nSpend time in windy or high places to increase it.,你与风精魄的融合程度。\n\n狩猎野兽或在它们附近逗留均可得到提升。
Courage_Statuses[4].GameName,Extreme Courage,勇气极高
Courage_Statuses[5].GameName,Fearless,无惧
Grief_Description,Represents the sorrow of losing something dear.\n\nGrief lowers your morale and lingers until time helps ease it.,代表着失去珍爱之物的悲痛。\n\n悲痛会降低你的士气，萦绕不散，直到时间慢慢抚平。
Tab_2_Construction_Subtab_2_MetalTools_TabName,Metal Tools,金属工具
GpTag_Heart_TabName,Heart,心脏
GpTag_LeatherMoontouched_TabName,Moontouched Pelt,月兽毛皮
MoonShapeVisible_Description,"Shows the current phase of the moon. Fuller moons provide more moonlight and strengthen moon rituals.\n\nThe new moon is the weakest phase. It gives way to the waxing crescent, then the waxing gibbous, and finally the full moon.\nThe full moon is the strongest phase. It is followed by the waning gibbous, then the waning crescent, before returning to the new moon.",显示当前月相。满月月光更明亮，更有利于月之仪式。\n\n新月是最弱的月相。之后依次是上弦月、盈凸月，最后是满月。\n满月是最强的阶段。之后依次是亏凸月、残月，最后再次回到新月。
MoonShapeVisible_Statuses[0].GameName,New Moon,新月
MoonShapeVisible_Statuses[1].GameName,Waxing Crescent,峨眉月
MoonShapeVisible_Statuses[2].GameName,Waxing Gibbous,盈凸月
MoonShapeVisible_Statuses[3].GameName,Full Moon,满月
MoonShapeVisible_Statuses[4].GameName,Waning Gibbous,亏凸月
MoonShapeVisible_Statuses[5].GameName,Waning Crescent,残月
MoonShapeVisible_NotEnoughText,Not enough moonlight,月光不够
MoonShapeVisible_TooMuchText,Not enough moonlight,月光不够
W_ForestBeastBite_CardName,Forest Beast Bite,森林猛兽咬伤
W_ForestBeastBite_CardDescription,Causes pain and blood loss.\n\nApply a tourniquet and keep it clean and dress it to avoid infection.,导致疼痛和失血。\n\n使用止血带并保持清洁和包扎可以避免感染。
W_ForestBeastBite_SpoilageTime.CardStatName,Recovery,治愈
W_ForestBeastBite_SpoilageTime.OnFull.ActionName,Bear Bite,熊咬伤
W_ForestBeastBite_SpoilageTime.OnFull.ActionDescription,Wound healed!,咬伤已治愈！
W_ForestBeastBite_UsageDurability.CardStatName,Infection,感染
W_ForestBeastBite_FuelCapacity.CardStatName,Pain,疼痛
W_ForestBeastBite_Progress.CardStatName,Bleeding,正在流血
W_ForestBeastBite_SpecialDurability1.CardStatName,Healing Factor,治愈系数
W_ForestBeastBite_SpecialDurability2.CardStatName,Disinfectant Factor,消毒系数
W_ForestBeastBite_SpecialDurability3.CardStatName,Analgesic Factor,消毒系数
W_ForestBeastBite_SpecialDurability4.CardStatName,Coagulant Factor,凝血系数
W_ForestBeastBite_CardInteractions[0].ActionName,Clean,打扫
W_ForestBeastBite_DismantleActions[0].ActionName,Clean,打扫
W_ForestBeastBite_InventorySlotsText,PLACE DRESSING HERE,在此放置敷料 / 绷带
W_ForestBeastBite_CookingRecipes[0].ActionName,Dressing,敷料
W_ForestBeastBite_CookingRecipes[0].CustomCookingText,Protecting Wound,正在保护伤口
Farmer_CharacterName,Farmer,农夫
Farmer_CharacterDescription,"A quiet solitary farmer who lives by the slow turning of the seasons. She clears small fields, keeps hardy crops, and endures through stubborn routine.\n\nHer survival comes from understanding the secrets of soil, plants, and seasons.\n\n<b>Beginner Friendly</b>",一位安然的独居农妇，顺应四季的缓慢更迭而生活。她开垦小块田地，种植耐寒作物，守着日复一日的耕作循此度日。\n\n她的生存之道，源于对土壤、作物与季节之秘的谙熟。\n\n<b>适合新手</b>
Huntsman_CharacterDescription,"You are a rugged hunter from the northern wilderness.\nForaging, trapping, building, enduring.\n\nYou hunt for your future and flee from your past.\nAnd on every full moon, you dream of her.\n\nSlay the Forest Beast that should not be.\nFor the closer you come to it, the closer you come to yourself.",你是一位来自北方荒原的粗犷猎人。\n采集、设陷、搭建、求生。\n\n你为未来而狩猎，也为逃离过去而奔逐。\n每逢满月，她总会入你梦来。\n\n去猎杀那不应存于世的森林猛兽吧。\n你越是靠近它，便越是靠近自己。
SpiritSpeaker_CharacterName,Spirit Speaker,唤魂者
SpiritSpeaker_CharacterDescription,"A mysterious figure, attentive to the signs and whispers others ignore. \n\nHer survival comes from understanding the will of the spirits and knowing when to listen, and when to stay silent.\n\n<b>Advanced</b>",一位神秘之人。她留意着那些被他人忽略的征兆与低语。\n\n她的生存之道，在于洞悉众灵的意志，知晓何时聆听，何时缄默。\n\n<b>进阶</b>
Trapper_CharacterName,Trapper,设陷者
Trapper_CharacterDescription,"A patient and cunning trapper of the woods. He wastes nothing, surviving where food is scarce and winters are long. \n\nHis survival comes from understanding the ways of beasts and how to outsmart them.\n\n<b>Beginner Friendly</b>",一位耐心而狡黠的林间猎手。\n\n他从不浪费任何东西，在食物稀缺、冬日漫长的环境中生存下来。\n\n他的生存之道，在于洞悉野兽的习性，并懂得如何智取它们。\n\n<b>适合新手</b>
WildMan__CharacterName,Wild Man,野人
WildMan__CharacterDescription,"A rough and resilient man of the wilderness. He hunts, gathers, and endures with little more than what he carries. \n\nHis survival comes from adaptability, sheer strength, and an unyielding will to live.\n\n<b>Advanced</b>",一位粗犷而坚韧的荒野之人。他狩猎、采集，仅凭随身之物便能顽强生存。\n\n他的生存之道，在于惊人的适应力、纯粹的力量，以及不屈的求生意志。\n\n<b>进阶</b>
Witch_CharacterName,Witch,女巫
Witch_CharacterDescription,"You are a young woman, lost in damp and dark alder woods.\n\nLost to the world, lost to yourself.\nFind your place and make it your home.\n\nFrom guidance to intimacy. From intimacy to pressure.\nBecome a vessel, or become a self.",你是一位年轻女子，迷失在潮湿阴暗的桤木林中。\n\n迷失于世，也迷失于自我。\n寻得一处归宿，将其营建成你的家园。\n\n从指引到亲密，从亲密到压力。\n成为容器，或成为自我。
Agent_Fox2_AgentName,Fox,狐狸
Agent_Fox2_Interactions[0].ButtonName,Approach,接近
Agent_Squirrel2_AgentName,Squirrel,松鼠
BurrowFox2_CardName,Fox Burrow,狐狸洞
BurrowFoxAbandoned2_CardName,Abandoned Fox Burrow,废弃的狐狸洞
Bp_DestroyFox2Burrow_CardName,Destroy Burrow,摧毁巢穴
Bp_Drum_CardName,Frame Drum,框鼓
Bp_Drum_CardDescription,A round hide drum used for entertainment or spiritual purposes.,一个圆形的兽皮鼓，用于娱乐或宗教仪式。
Bp_Drum_UnlockConditionsDesc,Plank Needed,需要木板
Bp_MaidenCharm_CardName,Maiden Charm,少女木雕
Bp_MaidenCharm_CardDescription,"A piece of your maiden's soul. It will give you courage, at a cost.",你的少女灵魂的一部分。它会给你勇气，但也要承担代价。
Bp_MaidenCharm_CardHelpSection,"Summer flowers, blood of pine, and a carving shaped by loss.\nWorn beneath the fullest moon: courage shielded by my grief.",夏季花，松之血，失刻之物。\n于满月下携佩之，以我悲恸护勇坚。
MaidenCharm_CardName*,Maiden Charm,少女木雕
MaidenCharm_CardDescription*,"A piece of your maiden's soul. It will give you courage, at a cost.",你的少女灵魂的一部分。它会给你勇气，但也要承担代价。
Drum_CardName,Frame Drum,框鼓
Drum_CardDescription,A round hide drum used for entertainment or spiritual purposes.,一个圆形的兽皮鼓，用于娱乐或宗教仪式。
Drum_DismantleActions[0].ActionName,Practice,练习
Drum_DismantleActions[1].ActionName,Flowing Rhythm,跃动的节奏
Drum_DismantleActions[1].ActionDescription,Lose yourself to the drum.,迷失在鼓点中。
Drum_DismantleActions[2].ActionName,Intense Rhythm,激昂的节奏
Drum_DismantleActions[2].ActionDescription,Let the drum guide you!,让鼓声引领你！
Drum_DismantleActions[3].ActionName,Drum Trance,入迷击鼓
Drum_DismantleActions[3].ActionDescription,Become the drum!,人鼓合一！
GpTag_HammeringToolGeneral_TabName,Hammering Tool,锤击工具
GpTag_HammeringToolHard_TabName,Hard Hammering Tool,硬锤类工具
GpTag_HammeringToolSoft_TabName,Soft Hammering Tool,软锤类工具
MoonShapeVisible_GameName,Moon Phase,月相
Dialogue_AgentPrimevalWolf_WolfIntro_Line,You approach the Primeval Wolf. ,你接近了原初之狼
Dialogue_AgentPrimevalWolf_WolfIntro_PossibleAnswers[0].Answer,Leave the Primeval Wolf alone. ,不招惹原初之狼。
Dialogue_AgentPrimevalWolf_WolfIntro_PossibleAnswers[1].Answer,Attack the Primeval Wolf,攻击原初之狼
Dialogue_SacredOak_SceneTitle,Sacred Oak,神圣橡树
Dialogue_SacredOak_WanderingOakIntro_Line,You approach the Sacred Oak.\n\nYou feel its ancient presence before you.,你接近了神圣橡树。\n\n你感受到了面前的古老存在。
Dialogue_SacredOak_WanderingOakIntro_PossibleAnswers[0].Answer,Leave,离去
Dialogue_SacredOak_WanderingOakIntro_PossibleAnswers[1].Answer,Give thanks,感恩
Dialogue_SacredOak_Insight_Line,The Sacred Oak receives your thanks.\n\nIt grants you insight.,神圣橡树接纳了你的谢礼。\n\n它增长了你的灵视。
Dialogue_SacredOak_Insight_PossibleAnswers[0].Answer,Leave,离去
Dialogue_WanderingOak_SceneTitle,Wandering Oak,迷离古橡
Dialogue_WanderingOak_WanderingOakIntro_Line,You approach the Wandering Oak.\n\nYou feel judged by its ominous presence.,你接近了迷离古橡。\n\n你感到正被面前的不详存在审视。
Dialogue_WanderingOak_WanderingOakIntro_PossibleAnswers[0].Answer,Leave,离去
Dialogue_WanderingOak_WanderingOakIntro_PossibleAnswers[1].Answer,Give thanks,感恩
Dialogue_WanderingOak_WanderingOakIntro_PossibleAnswers[2].Answer,Ask forgiveness,请求原谅
Dialogue_WanderingOak_Insight_Line,The Wandering Oak receives your thanks.\n\nAfter a long silence…\nit grants you insight.,迷离古橡接纳了你的献礼。\n\n漫长的寂静后，它增长了你的灵视。
Dialogue_WanderingOak_Insight_PossibleAnswers[0].Answer,Leave,离去
Dialogue_WanderingOak_No Patience_Line,It has no patience for such things.,它对这样的东西失去耐心了。
Dialogue_WanderingOak_No Patience_PossibleAnswers[0].Answer,Leave,离去
Dialogue_WestStone_SceneTitle,West Stone,韦石
Dialogue_WestStone_WestStoneIntro_Line,The West Stone sits in front of you.,韦石伫立在你面前。
Dialogue_WestStone_WestStoneIntro_PossibleAnswers[0].Answer,Leave,离去
Dialogue_WestStone_WestStoneIntro_PossibleAnswers[1].Answer,Talk,交谈
Dialogue_WestStone_WestStoneIntro_PossibleAnswers[2].Answer,Talk,交谈
Dialogue_WestStone_WestStoneIntro_PossibleAnswers[3].Answer,Talk,交谈
Dialogue_WestStone_WestStoneIntro_PossibleAnswers[4].Answer,Talk,交谈
Dialogue_WestStone_WestStoneIntro_PossibleAnswers[5].Answer,Talk,交谈
Dialogue_WestStone_WestStoneIntro_PossibleAnswers[6].Answer,Give Thanks,感恩
Dialogue_WestStone_WestStoneIntro_PossibleAnswers[7].Answer,Give Thanks,感恩
Dialogue_WestStone_WestStoneIntro_PossibleAnswers[8].Answer,Give Thanks,感恩
Dialogue_WestStone_Lvl1 Sober_Line,"You spend some time talking to the stone.\n\nUnfortunately, it doesn't answer back. But you do feel a bit less lonely at least.",你花了些时间跟石头说话。可惜的是，它没有回应。但至少你感觉不那么孤独了。
Dialogue_WestStone_Lvl1 Sober_PossibleAnswers[0].Answer,Leave,离去
Dialogue_WestStone_Lvl2 Sober_Line,You spend some time talking to the stone.\n\nYou feel you can almost hear its answers. You feel a bit less lonely now.\n,你花了一些时间和石头说话。\n\n你感觉自己几乎能听到它的回应。你现在感觉不那么孤独了。\n
Dialogue_WestStone_Lvl2 Sober_PossibleAnswers[0].Answer,Leave,离去
Dialogue_WestStone_Lvl2 High_Line,You spend some time talking to the stone.\n\nIt's a good conversational companion. You feel a bit less lonely now.,你花了一些时间和石头说话。\n\n它是个很好的聊天伙伴。你现在感觉不那么孤独了。
Dialogue_WestStone_Lvl2 High_PossibleAnswers[0].Answer,Leave,离去
Dialogue_WestStone_Lvl1 High_Line,You spend some time talking to the stone.\n\nYou feel you can almost hear its answers. You feel a bit less lonely now.\n,你花了一些时间和石头说话。\n\n你感觉自己几乎能听到它的回应。你现在感觉不那么孤独了。\n
Dialogue_WestStone_Lvl1 High_PossibleAnswers[0].Answer,Leave,离去
Dialogue_WestStone_Lvl 3_Line,You spend some time talking to the stone.\n\nIt's a good conversational companion. You feel a bit less lonely now.,你花了一些时间和石头说话。\n\n它是个很好的聊天伙伴。你现在感觉不那么孤独了。
Dialogue_WestStone_Lvl 3_PossibleAnswers[0].Answer,Leave,离去
Dialogue_WestStone_Blessing_Line,"The Stone is grateful for your presence.\nIt says you are good to have near. That you should stay a while.\n\n\nYou have its blessing, if you need it.\nSo you may feel less alone.\nSo you do not have to listen to the silence.",石头感谢你的到来。\n它说，有你在身边真好，你应该多待一会儿。\n\n\n如果你需要，它为你祝福。\n这样，你就不会感到那么孤独。\n这样，你就不必再独自面对寂静。
Dialogue_WestStone_Blessing_PossibleAnswers[0].Answer,Leave,离去
Dialogue_WestStone_Enchantments_Line,"The Stone likes you. It is grateful for your presence.\nIt says it missed you. That you have always been friends, even if you do not remember.\n\nIt remembers the times you sat together.\nIt remembers what you said.\n\nIt is happy to bless your possessions, if you so wish.",这块石头喜欢你。它感谢你的陪伴。\n它说它想念你。即使你不记得了，你们也一直是朋友。\n\n它记得你们坐在一起的时光。\n它记得你说过的话。\n\n如果你愿意，它很乐意祝福你的所有物。
Dialogue_WestStone_Enchantments_PossibleAnswers[0].Answer,Leave,离去
Dialogue_WestStone_Stone Friend_Line,"The Stone sends you warmth.\nIt says it will always be there for you.\n\nIf you wish, it offers you a small piece of itself…\nso you will not be alone anymore.\n\nSo it may stay always with you.",这块石头会给你带来温暖。\n它说它会永远陪伴着你。\n\n如果你愿意，它会给你一小块属于它的东西……\n这样，你就不会再孤单了。\n\n这样，它就可以永远陪伴着你。
Dialogue_WestStone_Stone Friend_PossibleAnswers[0].Answer,Leave,离去
Agent_Boar2_AgentName,Boar,野猪
Agent_Boar2_AgentDescription,A brown boar roots through the earth with its snout.,一头棕毛野猪正拱地翻食。
Agent_Boar2_Interactions[0].ButtonName,Approach,接近
Agent_PrimevalWolf_AgentName,Primeval Wolf,原初之狼
Agent_PrimevalWolf_Interactions[0].ButtonName,Approach,接近
Agent_WanderingOak_AgentName,Wandering Oak,迷离古橡
Agent_WanderingOak_Interactions[0].ButtonName,Approach,接近
Agent_WanderingOak_DismantleActions[0].ActionName,Harvest Acorns,收获橡子
Agent_WanderingOak_DragAndDropActions[0].ActionName,Cut Tree,砍树
Agent_WanderingOak_AgentActions[1].ActionLocalizedName,Go to Spirit World,前往精魄界
Bp_ClayBasin_CardName,Clay Basin,陶盆
Bp_ClayBasin_CardDescription,"A wide open container for tanning, dying and soaking.",一个用于鞣制、染色和浸泡的宽敞口容器。
